"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001010030,NA,NA,NA,NA,NA,NA,NA
202001010100,NA,NA,NA,NA,NA,NA,NA
202001010130,NA,NA,NA,NA,NA,NA,NA
202001010200,NA,NA,4.08085,154.453,103380,NA,NA
202001010230,NA,NA,3.56694,150.967,103352,NA,NA
202001010300,NA,NA,3.21958,154.185,103313,NA,NA
202001010330,NA,NA,2.40844,145.122,103280,NA,NA
202001010400,NA,NA,1.77275,116,103269,NA,NA
202001010430,NA,NA,2.08684,111.605,103252,NA,NA
202001010500,NA,NA,2.40516,122.392,103249,NA,NA
202001010530,NA,NA,2.30879,129.051,103247,NA,NA
202001010600,NA,NA,NA,NA,NA,NA,NA
202001010630,NA,NA,NA,NA,NA,NA,NA
202001010700,NA,NA,4.41233,140.223,103211,NA,NA
202001010730,NA,NA,3.89624,137.2,103193,NA,NA
202001010800,NA,NA,3.58166,136.187,103212,NA,NA
202001010830,NA,NA,3.77718,133.041,103189,NA,NA
202001010900,NA,NA,5.00094,139.364,103186,NA,NA
202001010930,NA,NA,5.89979,145.812,103198,NA,NA
202001011000,NA,NA,7.5104,158.872,103191,NA,NA
202001011030,NA,NA,7.80797,164.668,103191,NA,NA
202001011100,NA,NA,7.16254,159.617,103168,NA,NA
202001011130,NA,NA,6.10343,158.58,103150,NA,NA
202001011200,NA,NA,6.21026,172.074,103115,NA,NA
202001011230,10.1695,24.8319,5.32762,170.343,103085,NA,NA
202001011300,6.14756,19.0784,4.53897,184.594,103063,NA,NA
202001011330,NA,20.4173,4.59236,183.024,103020,NA,NA
202001011400,-24.4206,28.591,4.29374,176.288,102996,NA,NA
202001011430,NA,NA,3.9189,184.078,103002,NA,NA
202001011500,NA,NA,4.75442,183.287,103002,NA,NA
202001011530,NA,NA,NA,NA,NA,NA,NA
202001011600,NA,NA,NA,NA,NA,NA,NA
202001011630,NA,NA,NA,NA,NA,NA,NA
202001011700,NA,NA,NA,NA,NA,NA,NA
202001011730,NA,NA,NA,NA,NA,NA,NA
202001011800,NA,NA,NA,NA,NA,NA,NA
202001011830,NA,NA,NA,NA,NA,NA,NA
202001011900,NA,NA,NA,NA,NA,NA,NA
202001011930,NA,NA,NA,NA,NA,NA,NA
202001012000,NA,NA,NA,NA,NA,NA,NA
202001012030,NA,NA,NA,NA,NA,NA,NA
202001012100,NA,NA,NA,NA,NA,NA,NA
202001012130,NA,9.84549,5.97681,200.241,102860,NA,NA
202001012200,NA,12.534,6.15161,203.689,102824,NA,NA
202001012230,NA,9.72916,6.13753,198.994,102815,NA,NA
202001012300,NA,6.64344,5.92516,206.415,102817,NA,NA
202001012330,NA,9.13955,5.88462,211.317,102798,NA,NA
202001020000,NA,14.238,6.33434,194.661,102768,NA,NA
202001020030,NA,15.0411,6.50293,201.552,102737,NA,NA
202001020100,NA,10.2046,6.57013,201.945,102710,NA,NA
202001020130,NA,13.8893,6.59953,203.218,102696,NA,NA
202001020200,NA,19.2795,6.87837,199.005,102670,NA,NA
202001020230,3.91512,15.2348,6.70274,196.999,102650,NA,NA
202001020300,NA,17.7019,6.80012,185.945,102649,NA,NA
202001020330,NA,NA,NA,NA,NA,NA,NA
202001020400,NA,NA,NA,NA,NA,NA,NA
202001020430,NA,NA,NA,NA,NA,NA,NA
202001020500,NA,NA,NA,NA,NA,NA,NA
202001020530,NA,NA,NA,NA,NA,NA,NA
202001020600,NA,NA,NA,NA,NA,NA,NA
202001020630,NA,NA,NA,NA,NA,NA,NA
202001020700,NA,NA,NA,NA,NA,NA,NA
202001020730,NA,NA,NA,NA,NA,NA,NA
202001020800,NA,NA,NA,NA,NA,NA,NA
202001020830,NA,NA,NA,NA,NA,NA,NA
202001020900,NA,NA,NA,NA,NA,NA,NA
202001020930,NA,NA,NA,NA,NA,NA,NA
202001021000,NA,NA,NA,NA,NA,NA,NA
202001021030,NA,NA,NA,NA,NA,NA,NA
202001021100,NA,NA,NA,NA,NA,NA,NA
202001021130,NA,NA,NA,NA,NA,NA,NA
202001021200,NA,NA,NA,NA,NA,NA,NA
202001021230,NA,NA,NA,NA,NA,NA,NA
202001021300,NA,NA,NA,NA,NA,NA,NA
202001021330,NA,NA,NA,NA,NA,NA,NA
202001021400,NA,NA,NA,NA,NA,NA,NA
202001021430,NA,NA,NA,NA,NA,NA,NA
202001021500,NA,NA,NA,NA,NA,NA,NA
202001021530,NA,NA,NA,NA,NA,NA,NA
202001021600,NA,NA,NA,NA,NA,NA,NA
202001021630,NA,NA,NA,NA,NA,NA,NA
202001021700,NA,NA,NA,NA,NA,NA,NA
202001021730,NA,NA,NA,NA,NA,NA,NA
202001021800,NA,NA,NA,NA,NA,NA,NA
202001021830,NA,NA,NA,NA,NA,NA,NA
202001021900,NA,NA,10.0616,171.722,101817,NA,NA
202001021930,NA,-12.6108,9.07711,167.214,101785,NA,NA
202001022000,NA,-30.1648,10.8197,176.305,101737,NA,NA
202001022030,-6.14318,-30.8026,11.8681,175.633,101689,NA,NA
202001022100,-7.07025,-30.0739,11.5339,175.664,101665,NA,NA
202001022130,-7.55293,-33.164,11.414,180.053,101660,NA,NA
202001022200,-6.66034,-28.5121,11.0323,180.24,101642,NA,NA
202001022230,-6.57221,-26.9137,10.5836,179.953,101616,NA,NA
202001022300,-7.06704,-27.3684,9.96833,178.065,101592,NA,NA
202001022330,-8.16912,-28.4121,10.773,177.555,101551,NA,NA
