"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001010030,NA,NA,NA,NA,NA,NA,NA
202001010100,NA,NA,3.72747,199.009,101275,NA,NA
202001010130,NA,NA,3.40259,179.019,101275,NA,NA
202001010200,NA,NA,3.75807,158.402,101275,NA,NA
202001010230,NA,3.67315,4.06674,160.988,101275,NA,NA
202001010300,NA,NA,NA,NA,NA,NA,NA
202001010330,NA,NA,NA,NA,NA,NA,NA
202001010400,NA,NA,NA,NA,NA,NA,NA
202001010430,NA,NA,NA,NA,NA,NA,NA
202001010500,NA,NA,NA,NA,NA,NA,NA
202001010530,NA,NA,NA,NA,NA,NA,NA
202001010600,NA,NA,4.1544,191.189,101275,NA,NA
202001010630,NA,NA,NA,NA,NA,NA,NA
202001010700,NA,NA,NA,NA,NA,NA,NA
202001010730,NA,NA,NA,NA,NA,NA,NA
202001010800,NA,NA,NA,NA,NA,NA,NA
202001010830,NA,NA,5.85464,195.864,101275,NA,NA
202001010900,NA,NA,6.34594,196.551,101275,NA,NA
202001010930,NA,NA,5.70246,213.327,101275,NA,NA
202001011000,NA,NA,6.33042,222.236,101275,NA,NA
202001011030,NA,NA,6.05359,221.303,101275,NA,NA
202001011100,NA,NA,5.43109,213.059,101275,NA,NA
202001011130,NA,NA,5.08998,225.215,101275,NA,NA
202001011200,NA,NA,5.20623,234.7,101275,NA,NA
202001011230,NA,NA,4.86418,246.015,101275,NA,NA
202001011300,NA,NA,NA,NA,NA,NA,NA
202001011330,NA,NA,NA,NA,NA,NA,NA
202001011400,NA,NA,3.29785,221.18,101275,NA,NA
202001011430,NA,NA,3.80586,222.267,101275,NA,NA
202001011500,NA,NA,NA,NA,NA,NA,NA
202001011530,NA,NA,NA,NA,NA,NA,NA
202001011600,NA,NA,NA,NA,NA,NA,NA
202001011630,NA,NA,NA,NA,NA,NA,NA
202001011700,NA,NA,NA,NA,NA,NA,NA
202001011730,NA,NA,NA,NA,NA,NA,NA
202001011800,NA,NA,NA,NA,NA,NA,NA
202001011830,NA,NA,NA,NA,NA,NA,NA
202001011900,NA,NA,NA,NA,NA,NA,NA
202001011930,NA,NA,NA,NA,NA,NA,NA
202001012000,NA,NA,NA,NA,NA,NA,NA
202001012030,NA,NA,NA,NA,NA,NA,NA
202001012100,NA,NA,NA,NA,NA,NA,NA
202001012130,NA,NA,NA,NA,NA,NA,NA
202001012200,NA,NA,NA,NA,NA,NA,NA
202001012230,NA,NA,NA,NA,NA,NA,NA
202001012300,NA,NA,NA,NA,NA,NA,NA
202001012330,NA,NA,NA,NA,NA,NA,NA
202001020000,NA,NA,NA,NA,NA,NA,NA
202001020030,NA,NA,NA,NA,NA,NA,NA
202001020100,NA,NA,NA,NA,NA,NA,NA
202001020130,NA,NA,NA,NA,NA,NA,NA
202001020200,NA,NA,NA,NA,NA,NA,NA
202001020230,NA,NA,NA,NA,NA,NA,NA
202001020300,NA,NA,NA,NA,NA,NA,NA
202001020330,NA,NA,NA,NA,NA,NA,NA
202001020400,NA,NA,NA,NA,NA,NA,NA
202001020430,NA,NA,NA,NA,NA,NA,NA
202001020500,NA,NA,NA,NA,NA,NA,NA
202001020530,NA,NA,NA,NA,NA,NA,NA
202001020600,NA,NA,NA,NA,NA,NA,NA
202001020630,NA,NA,NA,NA,NA,NA,NA
