"LE"	"Kin"	"u"	"De"	"VPD"	"Twater"	"Kin_u"	"Kin_De"	"Kin_VPD"	"Kin_Twater"	"u_De"	"u_VPD"	"u_Twater"	"De_VPD"	"De_Twater"	"VPD_Twater"	"Kin_u_De"	"Kin_u_VPD"	"Kin_u_Twater"	"Kin_De_VPD"	"Kin_De_Twater"	"Kin_VPD_Twater"	"u_De_VPD"	"u_De_Twater"	"u_VPD_Twater"	"De_VPD_Twater"	"Kin_u_De_VPD"	"Kin_u_De_Twater"	"Kin_u_VPD_Twater"	"Kin_De_VPD_Twater"	"u_De_VPD_Twater"	"Kin_u_De_VPD_Twater"
NA	0	9	0.462443719487933	0.150062313121182	12.7	0	0	0	0	4.1619934753914	1.35056081809064	114.3	0.0693953742347223	5.87303523749675	1.90579137663901	0	0	0	0	0	0	0.6245583681125	52.8573171374707	17.1521223897511	0.881321252780973	0	0	0	0	7.93189127502875	0
NA	0	8	0.474652987760319	0.0857091006925327	12.6333333333334	0	0	0	0	3.79722390208255	0.685672805540262	101.066666666667	0.0406820807219607	5.99644941203873	1.082791638749	0	0	0	0	0	0	0.325456645775685	47.9715952963098	8.66233310999202	0.513950286454106	0	0	0	0	4.11160229163285	0
-27.7059	0	9	0.442329674799253	0.179080155998085	12.6	0	0	0	0	3.98096707319328	1.61172140398276	113.4	0.0792124671656324	5.57335390247059	2.25640996557587	0	0	0	0	0	0	0.712912204490692	50.1601851222353	20.3076896901828	0.998077086286969	0	0	0	0	8.98269377658272	0
93.45705	0	8	0.45280467459252	0.205702570658595	12.6	0	0	0	0	3.62243739674016	1.64562056526876	100.8	0.09314308556991	5.70533889986575	2.5918523902983	0	0	0	0	0	0	0.74514468455928	45.642711198926	20.7348191223864	1.17360287818087	0	0	0	0	9.38882302544692	0
76.95615	0	8	0.430390997732714	0.167141478931546	12.6	0	0	0	0	3.44312798186171	1.33713183145237	100.8	0.0719361878798695	5.4229265714322	2.10598263453748	0	0	0	0	0	0	0.575489503038956	43.3834125714576	16.8478610762998	0.906395967286355	0	0	0	0	7.25116773829084	0
65.38365	13.8888888888889	7	0.413555758468285	0.142303836407289	12.6	97.2222222222223	5.74382997872619	1.97644217232346	175	2.89489030927799	0.996126854851023	88.2	0.0588505709983632	5.21080255670039	1.79302833873184	40.2068098510833	13.8350952062642	1225	0.817369041643933	72.3722577319499	24.9031713712756	0.411953996988542	36.4756178969027	12.5511983711229	0.741517194579376	5.72158329150753	506.60580412365	174.322199598929	10.2988499247136	5.19062036205563	72.0919494729949
79.5402	61.1111111111111	8	0.434433633958215	0.139456853385935	12.6	488.888888888889	26.5487220752242	8.5223632624738	770	3.47546907166572	1.11565482708748	100.8	0.0605847475968297	5.47386378787351	1.75715635266278	212.389776601794	68.1789060997904	6160	3.70240124202848	334.513898147825	107.38177710717	0.484677980774638	43.7909103029881	14.0572508213022	0.763367819720055	29.6192099362279	2676.1111851826	859.054216857359	46.6502556495589	6.10694255776044	373.202045196471
67.0186	63.8888888888889	6	0.572821049432372	0.218690401584832	12.5	383.333333333333	36.5969003804016	13.9718867679198	798.611111111111	3.43692629659423	1.31214240950899	75	0.12527046533661	7.16026311790465	2.7336300198104	219.581402282409	83.8313206075189	4791.66666666667	8.00339084095011	457.461254755019	174.648584598998	0.751622792019662	42.9615787074279	16.4017801188624	1.56588081670763	48.0203450457006	2744.76752853012	1047.89150759399	100.042385511876	9.39528490024578	600.254313071258
97.1814	233.333333333333	8	0.464645505615078	0.293604603293537	12.5	1866.66666666666	108.417284643518	68.5077407684919	2916.66666666666	3.71716404492062	2.3488368263483	100	0.13642205934824	5.80806882018847	3.67005754116921	867.338277148144	548.061926147935	23333.3333333333	31.8318138479226	1355.21605804398	856.346759606148	1.09137647478592	46.4645505615078	29.3604603293537	1.705275741853	254.654510783381	10841.7284643518	6850.77407684919	397.897673099032	13.642205934824	3183.18138479226
NA	227.777777777778	6	0.397146463923427	0.10388929369928	12.5	1366.66666666667	90.4611390047807	23.6636724537249	2847.22222222222	2.38287878354056	0.62333576219568	75	0.0412592656321714	4.96433079904284	1.298616171241	542.766834028684	141.982034722349	17083.3333333334	9.39794383843905	1130.76423755976	295.795905671561	0.247555593793029	29.785984794257	7.791697027446	0.515740820402143	56.3876630306343	6784.58542535855	1774.77543402937	117.474297980488	3.09444492241286	704.845787882929
NA	97.2222222222222	6	0.445760648789077	0.0990812973938859	12.5	583.333333333333	43.3378408544936	9.63290391329446	1215.27777777778	2.67456389273446	0.594487784363315	75	0.0441665434091621	5.57200810986346	1.23851621742357	260.027045126962	57.7974234797668	7291.66666666667	4.29396949811298	541.72301068117	120.411298916181	0.264999260454972	33.4320486591808	7.43109730454144	0.552081792614526	25.7638169886779	3250.33806408702	722.467793497085	53.6746187264122	3.31249075568715	322.047712358473
82.3966	197.222222222222	7	0.386592066205831	0.171689600018964	12.4333333333334	1380.55555555555	76.2445463905944	33.8610044481845	2452.12962962964	2.70614446344082	1.20182720013275	87.0333333333338	0.066373837217384	4.80662802315919	2.13467402690246	533.71182473416	237.027031137292	17164.9074074075	13.0903956734285	947.973860123062	421.005155305763	0.464616860521688	33.6463961621143	14.9427181883172	0.825248042736145	91.6327697139994	6635.81702086143	2947.03608714034	162.757252872962	5.77673629915301	1139.30077011073
78.9973	386.111111111111	6	0.368988993572966	0.269252476231083	12.4833333333334	2316.66666666667	142.470750296228	103.961372767001	4819.95370370373	2.2139339614378	1.6155148573865	74.9000000000004	0.0993512002215363	4.60621260310255	3.36116841161804	854.824501777371	623.768236602009	28919.7222222224	38.3606023077598	1778.50986619793	1297.78447004141	0.596107201329218	27.6372756186153	20.1670104697082	1.24023414943218	230.163613846559	10671.0591971876	7786.70682024845	478.868185475204	7.44140489659311	2873.20911285123
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60.01225	0	7	0.432498909483507	0.16602114247517	12.55	0	0	0	0	3.02749236638455	1.16214799732619	87.85	0.071803963071717	5.42786131401801	2.08356533806338	0	0	0	0	0	0	0.502627741502019	37.9950291981261	14.5849573664437	0.901139736550048	0	0	0	0	6.30797815585034	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41.39705	0	7	0.395605907559208	0.105300171906452	12.6333333333334	0	0	0	0	2.76924135291446	0.737101203345164	88.4333333333338	0.0416573700731926	4.99782129883135	1.33029217175152	0	0	0	0	0	0	0.291601590512348	34.9847490918195	9.31204520226062	0.526271441924669	0	0	0	0	3.68390009347268	0
39.7208	0	7	0.387948016162903	0.0929712355906231	12.6	0	0	0	0	2.71563611314032	0.650798649134362	88.2	0.0360680064075961	4.88814500365258	1.17143756844185	0	0	0	0	0	0	0.252476044853173	34.217015025568	8.20006297909296	0.454456880735711	0	0	0	0	3.18119816514998	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
